<Alexander_the_Great>	rdfs:label	"Alexander the Great"
<Alexander_the_Great>	<title>	"BasileusofMacedon,Hegemonof theHellenic League,ShahanshahofPersia,PharaohofEgypt,Lord of Asia"
<Alexander_the_Great>	<activeYearsStartYear>	"0336"^^xsd:gYear
<Alexander_the_Great>	rdfs:label	"Alexander III of Macedon"
<Alexander_the_Great>	<birthDate>	"-0356-07-21"^^xsd:date
<Alexander_the_Great>	<deathDate>	"-0323-06-11"^^xsd:date
<Attila>	rdfs:label	"Attila"
<Attila>	<title>	"Ruler of the Hunnic Empire"
<Attila>	<activeYearsStartYear>	"0434"^^xsd:gYear
<Attila>	<activeYearsEndYear>	"0453"^^xsd:gYear
<Alan_Garner>	rdfs:label	"Alan Garner"
<Alan_Garner>	<birthName>	"Alan Garner"
<Alan_Garner>	<birthDate>	"1934-10-17"^^xsd:date
<Alan_Garner>	<activeYearsStartYear>	"1960"^^xsd:gYear
<Augustus>	rdfs:label	"Augustus"
<Augustus>	<activeYearsStartYear>	"-0027"^^xsd:gYear
<Augustus>	<activeYearsEndYear>	"-0027"^^xsd:gYear
<Augustus>	rdfs:label	"Imperator Caesar Divi Filius Augustus"
<Augustus>	<birthDate>	"-0063-09-23"^^xsd:date
<Dodo_(Alice's_Adventures_in_Wonderland)>	rdfs:label	"Dodo"
<Dodo_(Alice's_Adventures_in_Wonderland)>	<firstAppearance>	"Alice's Adventures in Wonderland"
<Dodo_(Alice's_Adventures_in_Wonderland)>	rdfs:label	"Capt. Dodo"
<Dodo_(Alice's_Adventures_in_Wonderland)>	<http://xmlns.com/foaf/0.1/nick>	"Dodo"
<Dodo_(Alice's_Adventures_in_Wonderland)>	<firstAppearance>	"Alice in Wonderland"
<Dodo_(Alice's_Adventures_in_Wonderland)>	rdfs:label	"Uilleam"
<Apollo_13>	<cosparId>	"1970-029A"
<Arcadius>	rdfs:label	"Arcadius"
<Arcadius>	<title>	"Emperorof theByzantine Empire"
<Arcadius>	<activeYearsStartYear>	"0383"^^xsd:gYear
<Arcadius>	<activeYearsEndYear>	"0395"^^xsd:gYear
<Arcadius>	rdfs:label	"Flavius Arcadius"
<Annapolis_Valley>	rdfs:label	"Annapolis Valley"
<Annapolis_Valley>	<areaLand>	"8.36632E9"^^xsd:double
<Annapolis_Valley>	<populationTotal>	"123649"^^xsd:nonNegativeInteger
<Annapolis_Valley>	<populationDensity>	"14.8"^^xsd:double
<Annapolis_Valley>	<areaCode>	"902"
<Annapolis_Valley>	<utcOffset>	"-4"
<Annapolis_Valley>	<utcOffset>	"-3"
<Aberdare>	rdfs:label	"Aberdare"
<Aberdare>	<gridReference>	"SO005025"
<Aberdare>	<areaCode>	"01685"
<Aberdare>	<postalCode>	"CF44"
<Aberdare>	<populationTotal>	"31705"^^xsd:nonNegativeInteger
<Aberdare>	rdfs:label	"Aberdâr"
<Antares>	rdfs:label	"Antares A/B"
<AIM-120_AMRAAM>	<weight>	"151956.0"^^xsd:double
<AIM-120_AMRAAM>	<length>	"3.6576"^^xsd:double
<AIM-120_AMRAAM>	<diameter>	"0.1778"^^xsd:double
<AIM-120_AMRAAM>	rdfs:label	"AIM-120 AMRAAM"
<Belgium>	<longName>	"Kingdom of Belgium"
<Belgium>	rdfs:label	"Belgium"
<Belgium>	<motto>	"(literally, \"Unity makes strength\")"
<Belgium>	<demonym>	"Belgian"
<Belgium>	<leaderTitle>	"Monarch"
<Belgium>	<leaderTitle>	"Prime Minister"
<Belgium>	<foundingDate>	"1830-10-04"^^xsd:date
<Belgium>	<foundingDate>	"1839-04-19"^^xsd:date
<Belgium>	<areaTotal>	"3.0528E10"^^xsd:double
<Belgium>	<areaTotal>	"3.0528189856530434E10"^^xsd:double
<Belgium>	<percentageOfAreaWater>	"6.4"^^xsd:float
<Belgium>	<flag>	"Flag of Belgium.svg"
<Belgium>	<populationDensity>	"363.6"^^xsd:double
<Belgium>	<populationDensity>	"363.58468065625044"^^xsd:double
<Britney_Spears>	<birthDate>	"1981-12-02"^^xsd:date
<Britney_Spears>	<birthYear>	"1981"^^xsd:gYear
<Britney_Spears>	<activeYearsStartYear>	"1992"^^xsd:gYear
<Britney_Spears>	<birthName>	"Britney Jean Spears"
<Benin>	<ethnicGroupsInYear>	"2006"^^xsd:gYear
<Benin>	<longName>	"Republic of Benin"
<Benin>	rdfs:label	"Benin"
<Benin>	<demonym>	"Beninese"
<Benin>	<leaderTitle>	"President"
<Benin>	<leaderTitle>	"Prime Minister"
<Benin>	<foundingDate>	"1960-08-01"^^xsd:date
<Benin>	<areaTotal>	"1.14763E11"^^xsd:double
<Benin>	<percentageOfAreaWater>	"0.4"^^xsd:float
<Benin>	<flag>	"Flag of Benin.svg"
<Benin>	<populationTotal>	"10879829"^^xsd:nonNegativeInteger
<Brandenburg>	<populationTotal>	"2449600"^^xsd:nonNegativeInteger
<Brandenburg>	<areaTotal>	"2.947863E10"^^xsd:double
<Brandenburg>	<populationAsOf>	"2013-11-30"^^xsd:date
<Benjamin_Disraeli>	rdfs:label	"The Earl of Beaconsfield"
<Benjamin_Disraeli>	<birthDate>	"1804-12-21"^^xsd:date
<Benjamin_Disraeli>	<deathDate>	"1881-04-19"^^xsd:date
<Benjamin_Disraeli>	<orderInOffice>	"Prime Minister of the United Kingdom"
<Benjamin_Disraeli>	<orderInOffice>	"Leader of the Opposition"
<Benjamin_Disraeli>	<orderInOffice>	"Chancellor of the Exchequer"
<Benjamin_Disraeli>	<activeYearsStartDate>	"1874-02-20"^^xsd:date
<Benjamin_Disraeli>	<activeYearsStartDate>	"1868-02-27"^^xsd:date
<Benjamin_Disraeli>	<activeYearsStartDate>	"1880-04-21"^^xsd:date
<Benjamin_Disraeli>	<activeYearsStartDate>	"1868-12-01"^^xsd:date
<Benjamin_Disraeli>	<activeYearsStartDate>	"1866-07-06"^^xsd:date
<Benjamin_Disraeli>	<activeYearsStartDate>	"1858-02-26"^^xsd:date
<Benjamin_Disraeli>	<activeYearsStartDate>	"1852-02-27"^^xsd:date
<Benjamin_Disraeli>	<activeYearsEndDate>	"1880-04-21"^^xsd:date
<Benjamin_Disraeli>	<activeYearsEndDate>	"1868-12-01"^^xsd:date
<Benjamin_Disraeli>	<activeYearsEndDate>	"1881-04-19"^^xsd:date
<Benjamin_Disraeli>	<activeYearsEndDate>	"1874-02-17"^^xsd:date
<Benjamin_Disraeli>	<activeYearsEndDate>	"1868-02-29"^^xsd:date
